,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
529,1483.45292825,10.24736915,2.78625214,5105.90562302,20.13838341,3.74919185
530,19778.97299093,41.70254995,5.16835380,2870.80386252,14.65265163,3.09741332
531,9577.76110747,27.99555228,4.09528737,4313.68197185,19.61209334,3.53848543
532,2457.57540664,14.71781815,3.13039333,3597.07719587,16.79938916,3.25013579
533,12865.87796818,28.65669207,4.31768171,5097.76988229,21.99956705,3.78914780
534,14511.03997476,41.14137042,6.93626989,4733.79235014,20.15479755,3.75834091
535,4843.71727858,23.28053553,4.08399946,4497.52534167,18.99593315,3.60792829
536,597.83180325,7.59748595,2.34320493,2793.57852304,14.88325965,3.12914302
537,1838.85591460,12.32015998,2.53490526,4255.43271006,18.65377593,3.42817312
538,3529.36158535,20.32033827,4.51524777,4196.83279867,18.58683815,3.35725718
539,594.67125105,6.74241296,2.20308647,2256.22527976,13.61605725,2.90632781
540,671.25242724,7.63012192,2.17536753,3102.50597283,16.04272062,3.10001615
541,3588.76461246,16.82049473,2.72142686,2890.27018595,14.88515062,2.88315232
542,7329.13024523,24.20004742,3.47386358,4870.84228869,21.23775984,3.56486512
543,1751.24756421,11.98230252,2.56677170,4819.00678114,19.79209752,3.42289687
544,4059.20733199,18.24460280,3.44417767,4266.89975440,18.79288730,3.34575593
545,1776.54179974,9.61673142,2.36371245,4479.20410785,19.07908296,3.38524711
546,755.71172485,7.46792083,2.20432595,3797.66915628,18.20724500,3.26309393
547,318.67579458,5.59625837,2.09021875,3058.95075518,13.72944700,2.84036133
548,3280.53400972,12.74194813,2.46703429,3171.72207756,16.50251299,3.02661004
549,2252.13972685,14.87335703,2.94918258,4709.04082292,19.33758708,3.41683188
550,1370.71063724,11.00774070,2.68579845,2916.44865477,15.81975570,3.01349481
551,1307.39426033,12.68502952,2.98039244,3384.71511157,16.55235285,3.08597751
552,10097.23768742,30.73598627,4.71800061,3324.47090428,16.05467707,3.05104336
553,13984.17405117,32.06249334,4.03737749,3112.45276182,14.64128584,2.88615773
554,2088.27367632,10.91046411,2.50566878,4063.04309232,18.49859717,3.21411880
